Wall time,Step,Value
1717060500.8237574,2512000,-13528.9482421875
1717060649.5661824,2522000,-13782.736328125
1717060798.8797135,2532000,-13529.947265625
1717060947.7348661,2542000,-13696.5791015625
1717061096.4873285,2552000,-13722.263671875
1717061253.5497966,2562000,-13825.2109375
1717061402.2746046,2572000,-13711.158203125
1717061551.0217073,2582000,-13489.0
1717061707.8363197,2592000,-13730.736328125
1717061885.3906763,2602000,-13855.158203125
1717062044.9706383,2612000,-13717.89453125
1717062195.2344115,2622000,-13932.841796875
1717062347.4676924,2632000,-13843.4736328125
1717062497.4814622,2642000,-14000.3154296875
1717062646.8803616,2652000,-13659.31640625
1717062805.0995288,2662000,-13604.7373046875
1717062954.3104935,2672000,-13767.1572265625
1717063104.148295,2682000,-13823.68359375
1717063253.6940215,2692000,-13395.736328125
1717063405.0267365,2702000,-13889.1044921875
1717063568.4835415,2712000,-13514.89453125
1717063718.267032,2722000,-13342.7900390625
1717063868.268064,2732000,-13784.89453125
1717064017.7278795,2742000,-13824.5263671875
1717064167.6389031,2752000,-13673.4736328125
1717064325.6078846,2762000,-13924.5263671875
1717064476.166417,2772000,-13618.89453125
1717064625.873295,2782000,-13827.8955078125
1717064775.994282,2792000,-13492.5263671875
1717064925.369339,2802000,-13584.052734375
1717065084.094549,2812000,-13708.263671875
1717065234.164039,2822000,-13525.947265625
1717065383.65183,2832000,-13518.6845703125
1717065533.4468443,2842000,-13806.3154296875
1717065683.4059296,2852000,-13510.5263671875
1717065842.048299,2862000,-13867.0
1717065993.3864355,2872000,-13604.2109375
1717066142.970593,2882000,-13948.7900390625
1717066292.3155315,2892000,-13727.4208984375
1717066441.8795614,2902000,-13504.4208984375
1717066599.3962152,2912000,-13569.1572265625
1717066748.5970619,2922000,-13702.2626953125
1717066897.8430996,2932000,-13896.3154296875
1717067048.5372202,2942000,-13585.3154296875
1717067197.9579735,2952000,-13732.052734375
1717067356.2507896,2962000,-13924.10546875
1717067505.5323315,2972000,-13516.7373046875
1717067655.3623023,2982000,-13431.2109375
1717067804.4884093,2992000,-13812.6318359375
1717067954.2472255,3002000,-13652.5263671875
1717068112.2914057,3012000,-13607.4736328125
1717068262.3622146,3022000,-13528.6845703125
1717068411.9321804,3032000,-13627.9482421875
1717068562.05312,3042000,-13678.0
1717068711.4131978,3052000,-13831.5263671875
1717068869.673472,3062000,-13957.2109375
1717069019.1081355,3072000,-13458.5263671875
1717069168.4652596,3082000,-13914.2626953125
1717069317.7325792,3092000,-13566.947265625
1717069468.673067,3102000,-13653.2109375
1717069627.13879,3112000,-13932.3681640625
1717069776.1341805,3122000,-13599.5791015625
1717069924.8413458,3132000,-13459.8955078125
1717070073.4942777,3142000,-13633.263671875
1717070222.2615175,3152000,-13404.736328125
1717070379.8341484,3162000,-13740.2626953125
1717070529.126663,3172000,-13761.158203125
1717070679.5453074,3182000,-13721.841796875
1717070828.0583446,3192000,-13354.5791015625
1717070977.1766267,3202000,-13425.841796875
1717071135.0891054,3212000,-13676.052734375
1717071284.4107053,3222000,-13955.5263671875
1717071433.8066413,3232000,-13695.10546875
1717071583.3345954,3242000,-13506.6845703125
1717071732.79963,3252000,-13725.4736328125
1717071890.6530173,3262000,-13591.2099609375
1717072040.4901109,3272000,-14061.9482421875
1717072189.6270676,3282000,-13435.0
1717072338.9082716,3292000,-13569.736328125
1717072488.64251,3302000,-13558.947265625
1717072646.9959419,3312000,-13428.2626953125
1717072796.3747346,3322000,-13815.052734375
1717072945.6841102,3332000,-13508.8427734375
1717073098.0943956,3342000,-13531.947265625
1717073247.872958,3352000,-13513.6318359375
1717073405.7936883,3362000,-13754.10546875
